"One of these species is the arrow cichlid ( "" Amphilophus zaliosus "" ) , described in 1976 ."	cichlid	In addition to the Cat and the scolding fish , other Dr. Seuss characters are alluded to .	fish	1
The complex is listed Grade II * , the associated farmhouse having a separate Grade II listing .	farmhouse	Agent-based modeling is an experimental tool for theoretical research .	tool	0
Concord Condor ( voiced by Rob Paulsen ) is a young , purple male condor .	condor	It is suggested that the two classes of insect nitrophorins have arisen as a product of the convergent evolution .	insect	0
Each cleaver contains the center of mass of the boundary of triangle ABC , so the three cleavers meet at the Spieker center .	cleaver	ZERO VFX developed Zync in 2011 , a cloud based rendering tool for VFX and was sold to Google for an undisclosed sum in August 2014 .	tool	1
"The mortise chisel , even in its heavyweight "" pigsticker "" form , is used differently from a twybill , although the two may be used together ."	chisel	A hardware store still stands , which stood as the Prairie Winds cafe for many years , today the building remains unoccupied .	building	0
It resembles a plover but with very long grey legs and a strong heavy black bill similar to a tern .	tern	"The tadpole cod is distinct from the tadpole fish , "" Raniceps raninus "" ."	fish	0
""" Brave "" is sometimes described as a lugger and sometimes as a cutter ."	lugger	These rules should be distinguished from the mechanical procedures required to operate one 's vehicle .	vehicle	1
The minesweeper was named after Wintringham .	minesweeper	In 1955 , the Bryan Family Foundation was established as a vehicle for their benevolence .	vehicle	1
There have been calls to reclassify sickle cell trait as a disease state , based on its malignant clinical presentations .	sickle	These include fluted projectile points , waste from stone tool work ( debitage ) , and small channel scrapers .	tool	1
Rhynchorhamphus malabaricus Rhynchorhamphus malabaricus or Malabar halfbeak is a halfbeak of the family Hemiramphidae of the order Beloniformes .	halfbeak	Museum curator Marjorie Courtenay-Latimer discovered the fish among the catch of a local angler , Captain Hendrick Goosen , on December 23 , 1938 .	fish	1
Finally , the gradations from the thick middle of the curve to the thin points touching the vertical are worked out with a finer burin .	burin	ZERO VFX developed Zync in 2011 , a cloud based rendering tool for VFX and was sold to Google for an undisclosed sum in August 2014 .	tool	1
"In the movie "" WALL-E "" , WALL-E gives his pet cockroach Twinkies , evidently still edible after humans have left earth 700 years ago ."	cockroach	The book covers details of migratory and resident birds based around the lake , and documents 130 bird species with photographs .	bird	0
"The guildhall of the merchants ' guild also served as "" de facto "" commodity market ."	guildhall	Eventually , the music becomes so loud that the building begins to fall apart .	building	1
The chateau replaced a medieval castle , of which there are remains in the north east corner .	chateau	The listing includes the courthouse and also a sheriff 's residence/jail building to its north , which is a two-story brick building .	building	1
"Among the patents was a patent for an "" adjustable-wing snowplow "" that allowed the blade to extend from 8 feet out to 10 feet ."	snowplow	Dip pens were important as the only other writing tool was the quill .	tool	0
The disease can also occur in several species of gull and in the northern fulmar .	fulmar	Order : PasseriformesFamily : Furnariidae Ovenbirds comprise a large family of small sub-oscine passerine bird species found in Central and South America .	bird	1
Calosoma semilaeve Calosoma semilaeve , the black calosoma , is a species of ground beetle in the subfamily Carabinae .	calosoma	The refurbishment programme included GB1 ; a fish restaurant which opened on 6 February 2013 , deluxe sea facing bedrooms and The Spa at The Grand .	fish	0
"The yellowfin sole was originally described as "" Pleuronectes asper "" by Pallas in 1814 , and subsequently as "" Limanda asprella "" by Hubbs in 1915 ."	yellowfin	DNA barcoding of grouper species might help in controlling Ciguatera fish poisoning since fish are easily identified , even from meal remnants , with molecular tools .	fish	1
It is a side-gabled Craftsman-style bungalow with wide eaves and a large front porch .	bungalow	Electro Energy Inc. , working with CalCars , converted a Toyota Prius from a hybrid electric vehicle to a PHEV using its own bipolar NiMH batteries .	vehicle	0
The anarchists remained entrenched in the dacha , in defiance of both the Provisional Government and the Petrograd Soviet .	dacha	Neal then crashed his vehicle into a car , which killed and injured two people .	vehicle	0
Vostox apicedentatus Vostox apicedentatus , the toothed earwig , is a species of little earwig in the family Spongiphoridae .	earwig	There are eight different enemy insects — a different insect is introduced on each of the first eight levels .	insect	1
Euura arbusculae Euura arbusculae is a species of sawfly belonging to the family Tenthredinidae ( common sawflies ) .	sawfly	The lobate lac insect is known to feed on more than 300 plant species .	insect	1
The Santoni-Franchini biplane made its first flight on 1 November 1910 in Milan , taking off from Baggio and landing in San Siro .	biplane	The impact of the plane severely damaged the structure of the building and caused its partial collapse .	building	0
Six-line wrasse rarely get parasites since they eat the parasites themselves .	wrasse	"HMS Dove Nine ships of the Royal Navy have been named HMS "" Dove "" after the bird family "" Columbidae "" : See also"	bird	0
"The painted finch is within the genus "" Emblema "" which early studies placed four species inside of ."	finch	However disease in fish is not understood well .	fish	0
"As reported by "" The Bulletin "" , this individual works independently of the consulate , complete with his own budget ."	consulate	Later on , due to an aging building , a new school building was constructed in Mount Zion , West Virginia .	building	1
A new parsonage was built in 1885-86 and has housed many pastors and their families .	parsonage	Muslim mobs accused the newspaper of blasphemy , and burned down its office building in Kaduna .	building	1
The lower mouth is only partially covered with its lips , leaving part of the minnow 's jaw exposed .	minnow	The popularity of such raw fish dishes makes it important for consumers to be aware of this risk .	fish	1
""" Rainbow "" and were in company on 18 June searching for a "" remarkably fast-sailing brigantine "" , of one gun and 40 men ."	brigantine	A tool is provided in the semantic search that create a group for augmentation and refinement for keywords-based search .	tool	0
Engraving is done with a burin , which is a small bar of hardened steel with a sharp point .	burin	Daido stainless tool steels used for kitchen knives and scissors .	tool	1
The red-throated caracara is highly territorial , with four to eight individuals in a group .	caracara	DNA barcoding of grouper species might help in controlling Ciguatera fish poisoning since fish are easily identified , even from meal remnants , with molecular tools .	fish	0
The Tomcats formed up on the EgyptAir 737 and a U.S. Navy EA-6B jammed all of the airliner 's communications except to the F-14s and E-2C .	airliner	Video recall is also a tool that therapists use to understand their patients .	tool	0
The next morning , Jeff notices that Thorwald 's wife is gone , and then sees Thorwald cleaning a large knife and handsaw .	handsaw	He was awarded the decoration for the gallantry he showed while saving three other men from a burning vehicle on 22 February 1946 in Kletek in Java .	vehicle	0
"Sharks present were the great white shark ( "" Carcharodon carcharias "" ) and the extinct broad-toothed mako ( "" Cosmopolitodus hastalis "" ) ."	mako	The Liverpool Cityscape comprises 170 hectares of the city , a near bird ’s - eye perspective .	bird	0
Black-legged kittiwake adults are somewhat larger ( roughly in length with a wingspan of ) than red-legged kittiwakes ( in length with a wingspan around ) .	kittiwake	Order : PasseriformesFamily : Tichodromidae The wallcreeper is a small bird related to the nuthatch family , which has stunning crimson , grey and black plumage .	bird	1
She was buried alongside her husband and children in the Soissons family tomb in the charterhouse of Gaillon .	charterhouse	NDepend NDepend is a static analysis tool for .	tool	0
Scenes were also filmed at Batt Reef , where Steve Irwin died from a stingray barb in 2006 .	stingray	A typical shrike 's beak is hooked , like a bird of prey .	bird	0
The Merseyrail electric and the Northern Rail diesel services use opposite ends of the same platform at Kirkby .	electric	Generally about two pages , it was primarily a vehicle for Harleston 's work .	vehicle	1
There is no official definition of a bicycle highway .	bicycle	Because tire noise is generated through the conversion of kinetic energy to sound waves , more noise is produced as the speed of a vehicle increases .	vehicle	1
The local Knights Templar fraternal organization drove the hearse , while funeral attendees followed in 38 carriages .	hearse	The tool supports a large number of code metrics , allowing to visualize dependencies using directed graphs and dependency matrix .	tool	0
Both tournaments are hosted by the Jeju Islanders Hockey Club , and played at the Jeju City inline skating rink .	rink	Chrysler 's lower sales volumes meant that new development and implementation costs made up a larger proportion of a vehicle 's cost compared to Ford and General Motors .	vehicle	0
His discovery in the 1960s that DDT residues could be found in adelie penguins contributed to the banning of DDT in the U.S.	adelie	"In the Middle East , the fish is known as "" hammour "" , and is widely eaten , especially in the Persian Gulf region ."	fish	0
Offshore Bald Head Island , North Carolina , a lightship was carried several miles from its original location and observed winds of .	lightship	Harrington Machine Shop The Harrington Machine Shop is a historic industrial building located in the Franklintown area of Philadelphia .	building	0
Its purpose was to enable steamboat passengers to get to the shore .	steamboat	The support buildings on the platform support the main building .	building	0
The Styan 's bulbul has a very similar appearance to the light-vented bulbul , but they differ in the patterns on the head .	bulbul	Order : SteatornithiformesFamily : Steatornithidae The oilbird is a slim , long-winged bird related to the nightjars .	bird	1
"On 10 May , "" Rhind "" departed New York again for North Africa , escorting a troopship convoy , and arrived at Algiers 2 June ."	troopship	The narrator makes his way to the roof of the building , where Tyler holds him at gunpoint .	building	0
"Some species of storm petrel actively feed on "" Halobates "" , sometimes splashing the water with their feet to attract or detect sea striders ."	petrel	List of birds of Belgium This is a list of the bird species recorded in Belgium .	bird	1
The blob sculpin is native to the northeastern Pacific Ocean where it is found on or near the seabed at depths from .	sculpin	"Muscadine is one of the grape species most resistant to "" Phylloxera "" , an insect that can kill roots of grapevines ."	insect	0
The customhouse would record an export of 50 francs .	customhouse	The listing includes the courthouse and also a sheriff 's residence/jail building to its north , which is a two-story brick building .	building	1
An alien priory was founded in Swavesey shortly after the Norman Conquest , possibly replacing a Saxon minster .	minster	This tool supports a large number of code metrics , allows for visualization of dependencies using directed graphs and dependency matrix .	tool	0
Some species are known to be rather more specialised ; the grey-backed storm petrel is known to concentrate on the larvae of goose barnacles .	petrel	This is a bird of open ground .	bird	1
The white-line seawhip goby is widespread throughout the tropical waters of the Indo-Pacific area , including Hawaii but not the Red Sea .	goby	List of birds of San Marino This is a list of the bird species recorded in San Marino .	bird	0
It 's drab in that tenement house .	tenement	On the west shoreline of Lake Allegan , there still exists the building foundations of a P.O.W. camp that housed German prisoners during World War II .	building	1
Eremiaphila rectangulata Eremiaphila rectangulata is a species of praying mantis in the family Eremiaphilidae .	mantis	"HMS Dove Nine ships of the Royal Navy have been named HMS "" Dove "" after the bird family "" Columbidae "" : See also"	bird	0
Meanwhile , the tugboat based at Subic Bay in the Philippines was placed on standby , and later received similar orders to head for South Vietnam .	tugboat	The impact of the plane severely damaged the structure of the building and caused its partial collapse .	building	0
Two International Place Two International Place is a postmodern skyscraper in the Financial District neighborhood of Boston , Massachusetts .	skyscraper	The building is adjacent to the Gateway Arch .	building	1
The earwig inhabited deep burrows , coming out only at night following rain .	earwig	The predatory bird is the next host for the parasite in the next stage of its life cycle .	bird	0
She was converted to a brigantine on 16 June 1879 .	brigantine	Bell Telephone Building ( Montreal ) The Bell Telephone Building ( ) is a neoclassical office building in Montreal , Quebec , Canada .	building	0
The escolar is dark brown , growing darker with age until it is quite black .	escolar	Instead , these otters target soft-bodied prey like fish , or urchins which can be ripped apart with the forelimbs .	fish	1
The fictional metals duranium and tritanium were referred to in many episodes as extremely hard alloys used in starship hulls and hand-held tools .	starship	The M3 is self-deployable by road , operating as a 4x4 wheeled vehicle with a maximum road speed of 80 km/h .	vehicle	1
In 1975 the local Morris dancer John Byfleet made a replica of the original Ooser , which he carved from a log using a penknife .	penknife	"With such revolutionary concept , innovative design and superior performance , EOTPR will become an essential tool for microelectronic package fault isolation and failure analysis . "" """	tool	1
At the gun , they are first combined on the rammer tray , and then power rammed into the chamber together with one ram cycle .	rammer	The grain yield monitor is an excellent tool that provides producers an effective evaluation tool on a field and farm basis .	tool	1
The species is also known as the white-vented storm petrel .	petrel	List of birds of Austria This is a list of the bird species recorded in Austria .	bird	1
The two now fight and come out in the street , where O’Hara uses a hayfork .	hayfork	The features which facilitate swimming on the back also facilitate tool use .	tool	1
The school cafeteria , their primary bomb target , with its long outside window-wall and ground-level doors , was just north of the senior parking lot .	cafeteria	A year later a rich man named Wilhem Pelizäus came to the aid of the sisters and rented a building .	building	1
In 1862 , the presbytery became a ' home for the aged and infirm ' run by a group of religious sisters from Hammersmith .	presbytery	"In Nîmes , the festival occurs in the recent cultural building "" Paloma "" ."	building	1
They belong to the hawkmoth , silkworm and relatives superfamily Bombycoidea .	hawkmoth	Order : PasseriformesFamily : Tichodromidae The wallcreeper is a small bird related to the nuthatch family , which has stunning crimson , grey and black plumage .	bird	0
The black tinamou has a tremulous and descending whistle lasting about one second .	tinamou	List of birds of Poland This is a list of the bird species recorded in Poland .	bird	1
"Houses in the area were "" poorly ventilated , postage-stamp-sized ... patched together by crumbling plaster walls , with a rear door that opened onto an outhouse . """	outhouse	The support buildings on the platform support the main building .	building	1
"A barge called "" Wissey "" was operated by J Coston from Hilgay , which was known to have reached Cambridge in 1896 and 1898 ."	barge	The company provides an email-based customer support platform , knowledge base tool , and an embeddable search/contact widget for customer service professionals .	tool	0
By 1857 , a team of up to 60 bullocks were need to haul a wool-laden dray through difficult sections of scrub .	dray	"Driving factors differ from "" static "" factors , such as building floor areas , which determine energy consumption but change only rarely ( if at all ) ."	building	0
Due to this , the white-crowned hornbill was uplisted from near threatened to endangered on the IUCN Red List in 2018 .	hornbill	He made a collection of some 500 bird specimens .	bird	1
The Merseyrail electric and the Northern Rail diesel services use opposite ends of the same platform at Kirkby .	electric	The building is now a multi-dwelling structure .	building	0
The priory was dissolved in 1414 and sold to Eton College in 1462 .	priory	Mulford Building Mulford Building is a historic light manufacturing loft building located in the Spring Garden neighborhood of Philadelphia , Pennsylvania .	building	1
The Avis was a single-bay unstaggered biplane with full-span ailerons on both upper and lower wings .	biplane	Two female passengers in the vehicle experienced non-life-threatening injuries .	vehicle	1
Upon escaping , the first thing Tommy does is head to an A.B.C. teashop for sustenance .	teashop	In June 1982 the Franco-British study group favoured a twin tunnel to accommodate conventional trains and a vehicle shuttle service .	vehicle	0
"The genus name comes from the Provençal French for the little egret , "" aigrette "" , a diminutive of "" aigron "" , "" heron "" ."	egret	List of birds of Estonia This is a list of the bird species recorded in Estonia .	bird	1
The pelvic diaphragm is composed of the levator ani and the coccygeus muscle .	ani	List of birds of Uruguay This is a list of the bird species recorded in Uruguay .	bird	1
Pike are also prevalent along with high quality carp and other species such as roach , rudd and foreign pumpkinseed and grass carp .	pumpkinseed	Order : PasseriformesFamily : Furnariidae Ovenbirds comprise a large family of small sub-oscine passerine bird species found in Central and South America .	bird	0
The coracle was smashed on landing .	coracle	Mahamadi Ouédraogo , the driver , sustained critical injuries and died in the vehicle .	vehicle	1
Back at the motel , Jacob and Stephanie fall asleep , and Freddy possesses the latter .	motel	The building was converted into the YWCA 's offices as well as a preschool .	building	1
These include fulmar , black-legged kittiwake , common gull , razorbill and shag .	fulmar	Here he was employed at the Zoological Museum of the University of Copenhagen and headed its bird ringing centre 1943-1960 .	bird	1
The entire rink area was remodeled and used for manufacturing purposes .	rink	The building was converted into the YWCA 's offices as well as a preschool .	building	1
As the 20th century dawned , Swiss chalet style architecture was brought indirectly to Iceland under Norwegian influence .	chalet	The building employs a classical style of architecture reflecting Greek and Roman influences .	building	1
The white-line seawhip goby is widespread throughout the tropical waters of the Indo-Pacific area , including Hawaii but not the Red Sea .	goby	In the spring and fall , when the fish are spawning , the Calkins Bridge Dam is a favorite spot for fishermen .	fish	1
Graphium morania Graphium morania , the white lady or small white-lady swordtail , is a species of butterfly in the family Papilionidae ( swallowtails ) .	swordtail	She is married to actor Chatchai Plengpanich , and the two share the same nickname , Nok ( meaning in Thai : bird ) .	bird	0
A tale amongst the Guahibo Indians tells of a young man traveling by canoe trying to locate the calling tinamou .	tinamou	"Referred to as "" Newfoundland Currency "" this discovery yielded some 200 million tons of fish over five centuries ."	fish	0
Lipophrys pholis Lipophrys pholis , commonly known as shanny , is a species of combtooth blenny .	shanny	Insect farming Insect farming is the practice of raising , eating , and breeding insects as livestock .	insect	0
It is considered to be the world 's first kosher cybercafe .	cybercafe	Samuel Johnson The original building was designed by architect , William T. Proudfoot .	building	1
Antennablennius variopunctatus Antennablennius variopunctatus , the orange-dotted blenny , is a species of combtooth blenny found in the western Indian Ocean .	blenny	Immune organs vary by type of fish .	fish	1
Render is applied using a hawk and trowel and pushed on about 12 mm thick to begin .	trowel	The main features of JArchitect are : The tool proposes live code query and code rule through LINQ query .	tool	1
Common names include the Chilean sheepshead wrasse , the goldspot sheepshead or the Galapagos sheepshead wrasse .	sheepshead	As a consequence parasites of coral reef fish show tremendous variety .	fish	1
Euborellia jeekeli Euborellia jeekeli is a species of earwig in the family Anisolabididae .	earwig	Despite this , many diseases in captive fish can be avoided or prevented through proper water conditions and a well-adjusted ecosystem within the tank .	fish	0
The minster 's new organ was inaugurated in 2004 .	minster	In the early 1980s , it had both a vehicle assembly plant and an engine plant in Struandale , together with an older assembly plant in Neave .	vehicle	0
The salt marsh common yellowthroat has experienced a dramatic 80 % decline from the early 20th century through 1976 .	yellowthroat	It is suggested that the two classes of insect nitrophorins have arisen as a product of the convergent evolution .	insect	0
This tern is found around the coasts of the southern half of South America .	tern	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
"Scene I : Charles goes on to sell all of the family portraits to "" Premium "" , using the rolled-up family tree as a gavel ."	gavel	At 8:30 AM with the highway slippery and visibility reduced due to thick fog , their vehicle collided with another car near Mt. Pleasant , Michigan .	vehicle	0
Harabolviken is also a municipal facility , near to Kohamn , with a floating dock , outhouse and barbecue area with wood .	outhouse	While hand signatures were considered an anti-counterfeiting tool , the sheer number of bills being produced could not reasonably be signed individually by two men each .	tool	0
Khorasaniha Synagogue Khorasaniha Synagogue is a synagogue located in the Zartosht street in Valiasr street in Tehran , Iran .	synagogue	For these reasons , CuproBraze is particularly suited for the off-road vehicle , truck , bus , industrial engine , generator , locomotive , and military equipment markets .	vehicle	0
Selar boops Selar boops , the oxeye scad , is a species of jack in the family Carangidae .	scad	A rare insect ; probably a swamp species which escapes observation .	insect	0
"Antistia parva Antistia parva is a species of praying mantis in the genus "" Antistia "" in the order Mantodea ."	mantis	The False Click Beetle ( Hylochares cruentatus ) is an endangered insect that lives on the old Mätäoja riverbed in Vantaa , Finland .	insect	1
Antennablennius variopunctatus Antennablennius variopunctatus , the orange-dotted blenny , is a species of combtooth blenny found in the western Indian Ocean .	blenny	The predatory bird is the next host for the parasite in the next stage of its life cycle .	bird	0
This coloring of the fins is the feature to which the seventeenth century name ‘ rudd ’ refers .	rudd	However disease in fish is not understood well .	fish	1
One of the forms of Welsh coracle boat traditionally uses willow in the framework .	coracle	The locomotive complex is a good example of a distant country facility with a rare surviving Institute building and office .	building	0
Eupteryx melissae Eupteryx melissae , known generally as the sage leafhopper or banded sage hopper , is a species of leafhopper in the family Cicadellidae .	leafhopper	Many fungi can serve as source of food for insect larvae , whereas most insects eat fungi only occasionally .	insect	1
The episode closes with Lexie consoling the speedboat victim , Ferguson .	speedboat	Discovery Offices , which will be the 5th tallest building in Mumbai and the tallest building outside South Mumbai , is located on LBS Marg .	building	0
There are 64 species of oceanic sharks and rays on the list , including hammerheads , giant devil rays and porbeagle .	porbeagle	List of birds of Slovenia This is a list of the bird species recorded in Slovenia .	bird	0
"Cockchafer The cockchafer , colloquially called May bug or doodlebug , is a European beetle of the genus "" Melolontha "" , in the family Scarabaeidae ."	cockchafer	The Chinese Government is doing field trials on insect resistant cultivars .	insect	1
"In the past , the European stonechat was generally considered conspecific with the Siberian stonechat and African stonechat , lumped together as common stonechat "" S. torquatus "" ."	stonechat	In addition to the Cat and the scolding fish , other Dr. Seuss characters are alluded to .	fish	0
Siobhan 's grandfather was a renowned vaudeville knockabout comic .	knockabout	""" Vision Times "" labeled the system as a mass surveillance tool and mass disciplinary machine ."	tool	0
The roadhouse caters mainly for local Aboriginal communities and may be the most isolated roadhouse in Australia .	roadhouse	It was the first building built in Hilo to house multiple businesses in the same structure , and the first not constructed for its owner 's occupancy .	building	1
It was discovered that a mosquito in the gasoline had been drawn into the carburetor , starving the engine of fuel .	mosquito	It functions by opening sodium channels in the insect 's nerve cells .	insect	1
Ballyreen is noted as one of the few shore-angling locations in Clare where sharks ( porbeagle and blue ) , and conger eels have been successfully landed .	porbeagle	Order : PasseriformesFamily : Tichodromidae The wallcreeper is a small bird related to the nuthatch family , which has stunning crimson , grey and black plumage .	bird	0
Jack O ' Conner owned a houseboat about 100 yards from Shorty , and one night in a card match they wagered their businesses , O'Conner won .	houseboat	The latest version of KStars is 3.0.0 which included imporvements to the FITS Viewer tool and overhaul of the Ekos Scheduler .	tool	0
The most common indoor flies include housefly , the lesser housefly , the stable fly , the blue bottle fly , the green bottles and the flesh flies .	housefly	Order : PasseriformesFamily : Furnariidae Ovenbirds comprise a large family of small sub-oscine passerine bird species found in Central and South America .	bird	0
In the doubles event in luge , two gold medals were awarded for a first place tie and , consequently , no silver medal was awarded .	luge	Typically , in woodcarving , one starts with a larger tool , and gradually progresses to smaller tools to finish the detail .	tool	0
Adults are bright yellow with black markings , larvae and pupa are white with black dots .	pupa	The ruffed grouse is the state bird of Pennsylvania , United States .	bird	0
Among the rewards for his services were grants of the monastery of Ballinglass and abbey of Carrickfergus in 1614 .	monastery	Tangas were a common mode of public transport well into the 1950s , and bicycles were a private vehicle choice in the 1930s .	vehicle	0
However , LPE has antifungal and antibacterial activity in the housefly , and in certain mushrooms , it stimulates the MAPK cascade .	housefly	Some species of insect are able to autohaemorrhage when they are attacked by predators .	insect	1
Identification of this jaeger is complicated by its similarities to parasitic jaeger and the existence of three morphs .	jaeger	This total includes 12 amphibians , 5 fish , 15 reptiles , 157 birds , and 80 mammals .	fish	0
The consulate provides visa and consular services to the Indian citizens in Telangana , Andhra Pradesh and Odisha .	consulate	Select service plazas have electric vehicle charging stations .	vehicle	0
Khan and Arjun escape in a jeep .	jeep	Mulford Building Mulford Building is a historic light manufacturing loft building located in the Spring Garden neighborhood of Philadelphia , Pennsylvania .	building	0
""" Misty of Chincoteague "" begins with an account of the wreck of a Spanish galleon on the shores of Assateague Island off the coast of Virginia ."	galleon	Nothing from the old building was moved to the new structure .	building	0
"Slender escolar ( "" Paradiplospinus gracilis "" ) of the Gempylidae , and "" Champsocephalus gunneri "" , is also consumed ."	escolar	List of birds of Latvia This is a list of the bird species recorded in Latvia .	bird	0
Fish species present include largemouth bass , chain pickerel , black crappie , yellow perch , bluegill , pumpkinseed , and brown bullhead .	pumpkinseed	By 1993 , the percentage of sand eel was about 70 % , when the total industrial fish catch was 1.2 million tons .	fish	1
The chrysalis is usually triangular or cone headed .	chrysalis	Order : PasseriformesFamily : Oxyruncidae The sharpbill is a small bird of dense forests in Central and South America .	bird	0
Psilogramma menephron Psilogramma menephron , the privet hawk moth or large brown hawkmoth , is a member of the family Sphingidae .	hawkmoth	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	0
"The hardtop was changed to a more sloping roofline with upswept reverse-angle quarter windows , giving them "" a somewhat huskier look for 1970 "" ."	hardtop	Russian soldiers suppress him , as he emerges from his command vehicle .	vehicle	1
The former Mrs Valentine Moon 's teashop is still a landmark on the east side of Sevenoaks Road , standing opposite The Green .	teashop	This sum enabled the association to set up a winery and the building is still used today by the Hohenpolding volunteer fire service as a clubhouse .	building	1
At the time much of Parliament House was substandard and a possible firetrap .	firetrap	The locomotive complex is a good example of a distant country facility with a rare surviving Institute building and office .	building	1
Diploconger polystigmatus Diploconger polystigmatus , or the headband conger , is a species of eel in the family Congridae .	conger	The body of the female insect under the scale is slender and spindle-shaped , with lobed ventral margins .	insect	0
"He used the French name "" Le barbu "" and the Latin name "" Bucco "" ."	barbu	As a consequence parasites of coral reef fish show tremendous variety .	fish	1
Similarly , the red-billed chough no longer breeds on the island .	chough	Similarly , the protection of migratory and wild species of birds is framed within the European bird convention .	bird	1
The LT-1 is a single seat , low-wing , composite aircraft with tricycle landing gear .	tricycle	The support buildings on the platform support the main building .	building	0
"Additionally , the yard built in 1924 and in 1925 , Los Angeles City # 2 fireboat , which later was known as "" Ralph J. Scott "" ."	fireboat	Other causes of damage include heat damage from vehicle fires , or solvent action from chemical spills .	vehicle	1
She works as the head of dream department wearing a black suit and skirt and carrying a red toolbox and an orange-redess ladybug phone .	ladybug	Pristoceuthophilus Pristoceuthophilus is a genus of insect in family Rhaphidophoridae named by James A. G. Rehn in 1903 .	insect	1
There a locomotive shed was provided for the stabling and maintenance of steam locomotives .	shed	These rules should be distinguished from the mechanical procedures required to operate one 's vehicle .	vehicle	0
Also on the property is a contributing two-story frame smokehouse .	smokehouse	The grain yield monitor is an excellent tool that provides producers an effective evaluation tool on a field and farm basis .	tool	0
"In Ireland and Great Britain , the darker subspecies , the pied wagtail or water wagtail ( "" M. a. yarrellii "" ) predominates ."	wagtail	The consumption of imported meat , particularly mutton flaps , has replaced the islanders ' traditional diet of fish , root vegetables and coconuts .	fish	0
The Algarve hosts red knot , common greenshank and turnstone .	turnstone	The forest is also accessible to visitors for bird watching .	bird	1
John II built the monastery of the Pantocrator ( Almighty ) with a hospital for the poor of 50 beds .	monastery	The Marengo light commercial vehicle derivatives only have two seats , and have only been equipped with diesel engines .	vehicle	0
Formula 2 Stockcar Manx Open F2 TT The stockcar racing is a contact motorsport where the more experienced drivers start at the rear of each race .	stockcar	He felt that a building of quality did not unnecessarily disturb the site and should be comprehensible to everyone .	building	0
Facilitating these studies is the fact that the three-spined stickleback is easy to find in nature and easy to keep in aquaria .	stickleback	List of birds of Chile This is a list of the bird species recorded in Chile .	bird	0
It is closely related to common yellowthroat , Altamira yellowthroat and Belding 's yellowthroat , with which it forms a superspecies , and was formerly considered conspecific .	yellowthroat	There are no talking fish or insects .	fish	0
The fins of threadfin shad often have a yellowish color , especially the caudal fin .	threadfin	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
The submarine compleated this patrol with a surface gunfire engagement 3 November , sinking an ocean-going sampan .	sampan	"The second version made its debut in 2002 with "" America 's Army "" , a free multiplayer shooter developed by the U.S. Army as a recruitment tool ."	tool	0
The streetcar tracks along Bathurst Street are the only connection between the St. Clair streetcar line and the rest of the Toronto streetcar system .	streetcar	Two female passengers in the vehicle experienced non-life-threatening injuries .	vehicle	1
Flo decides to buy and run a failing roadhouse bar there , which she renames Flo 's Yellow Rose .	roadhouse	The Marengo light commercial vehicle derivatives only have two seats , and have only been equipped with diesel engines .	vehicle	0
The gars have thick ganoid scales typical of sturgeons whereas the bowfin has thin bony scales like the teleosts .	bowfin	Pseudoclitarchus Pseudoclitarchus sentus is the sole representative of the genus Pseudoclitarchus , and is a stick insect endemic to the Three Kings Islands .	insect	0
"Cockchafer The cockchafer , colloquially called May bug or doodlebug , is a European beetle of the genus "" Melolontha "" , in the family Scarabaeidae ."	cockchafer	List of birds of Uruguay This is a list of the bird species recorded in Uruguay .	bird	0
It was so named because one of the motor toboggan tracks was torn badly here , requiring makeshift field repair .	toboggan	It is used for vehicle storage in Ferry Lane Industrial Estate and for the mechanical biological treatment works building of the East London Waste Authority .	vehicle	1
Until 1977 , it was in use by the German Federal Coast Guard as a lightship on the river Elbe .	lightship	It becomes a vehicle to express Caribbean identity .	vehicle	1
Tearooms and guesthouse accommodation emerged .	guesthouse	Initial reports suggest the fire might have been triggered by an error in the vehicle 's plug-in charging system .	vehicle	0
The Bird Park houses more than 1.000 birds representing more than 250 species in an enclosed aviary .	aviary	Also , the development of an electronic data collection tool such as iSOPARC now enables researchers to enter , store , and analyze data more easily .	tool	0
Four groups received daily descriptions of a hypothetical hotel stay over the course of five days .	hotel	The building is a Rijksmonument .	building	1
The ant 's antennae , tibiae , tarsi and mandibles are also yellow or orange .	ant	List of birds of Uruguay This is a list of the bird species recorded in Uruguay .	bird	0
The puffin is the most plentiful species and is the Vestmannaeyjar emblem .	puffin	The insect lives for about a month during which time the females lay twenty eight to forty two eggs .	insect	0
The gyrfalcon is a member of the hierofalcon complex .	gyrfalcon	For example , some tapeworms make some fish behave in such a way that a predatory bird can catch it .	bird	1
"MV Duntroon MV "" Duntroon "" was a passenger ship built for the Melbourne Steamship Company , that saw military service as a troopship between 1942 and 1949 ."	troopship	The office building is of yellow and red brick , with sandstone trim .	building	0
"An aggressive mimic of this species is "" Plecodus straeleni "" , a scale-eating cichlid that is able to approach its victims by resembling a harmless species ."	cichlid	"Malaysian and Singaporean Chinese use the "" seven-coloured raw fish "" ( ) instead of the "" seven vegetable soup "" ."	fish	1
